#Chi is reported as CHI_(i)_(j) \hbar \omega (Ry)  Re(chi) (e^2*a_0^2/Ry) Im(chi) (e^2*a_0^2/Ry) 
     chi_1_1=  0.000000000000000E+00  0.428278391671114E+02  0.000000000000000E+00
     chi_1_1=  0.100000000000000E-02  0.428279198751938E+02  0.645795138600257E-03
     chi_1_1=  0.200000000000000E-02  0.428281620024502E+02  0.129161436329857E-02
     chi_1_1=  0.300000000000000E-02  0.428285655579074E+02  0.193748176285888E-02
     chi_1_1=  0.400000000000000E-02  0.428291305566122E+02  0.258342143137753E-02
     chi_1_1=  0.500000000000000E-02  0.428298570196319E+02  0.322945747095084E-02
     chi_1_1=  0.600000000000000E-02  0.428307449740568E+02  0.387561399434450E-02
     chi_1_1=  0.700000000000000E-02  0.428317944530042E+02  0.452191512766540E-02
     chi_1_1=  0.800000000000000E-02  0.428330054956205E+02  0.516838501303605E-02
     chi_1_1=  0.900000000000000E-02  0.428343781470868E+02  0.581504781127286E-02
     chi_1_1=  0.100000000000000E-01  0.428359124586233E+02  0.646192770456826E-02
     chi_1_1=  0.110000000000000E-01  0.428376084874952E+02  0.710904889917749E-02
     chi_1_1=  0.120000000000000E-01  0.428394662970188E+02  0.775643562811093E-02
     chi_1_1=  0.130000000000000E-01  0.428414859565689E+02  0.840411215383183E-02
     chi_1_1=  0.140000000000000E-01  0.428436675415858E+02  0.905210277096077E-02
     chi_1_1=  0.150000000000000E-01  0.428460111335849E+02  0.970043180898723E-02
     chi_1_1=  0.160000000000000E-01  0.428485168201644E+02  0.103491236349884E-01
     chi_1_1=  0.170000000000000E-01  0.428511846950155E+02  0.109982026563568E-01
     chi_1_1=  0.180000000000000E-01  0.428540148579335E+02  0.116476933235360E-01
     chi_1_1=  0.190000000000000E-01  0.428570074148280E+02  0.122976201327666E-01
     chi_1_1=  0.200000000000000E-01  0.428601624777347E+02  0.129480076288415E-01
     chi_1_1=  0.210000000000000E-01  0.428634801648286E+02  0.135988804078723E-01
     chi_1_1=  0.220000000000000E-01  0.428669606004366E+02  0.142502631200671E-01
     chi_1_1=  0.230000000000000E-01  0.428706039150514E+02  0.149021804725195E-01
     chi_1_1=  0.240000000000000E-01  0.428744102453459E+02  0.155546572320110E-01
     chi_1_1=  0.250000000000000E-01  0.428783797341896E+02  0.162077182278257E-01
     chi_1_1=  0.260000000000000E-01  0.428825125306624E+02  0.168613883545800E-01
     chi_1_1=  0.270000000000000E-01  0.428868087900733E+02  0.175156925750647E-01
     chi_1_1=  0.280000000000000E-01  0.428912686739769E+02  0.181706559231050E-01
     chi_1_1=  0.290000000000000E-01  0.428958923501913E+02  0.188263035064334E-01
     chi_1_1=  0.300000000000000E-01  0.429006799928174E+02  0.194826605095807E-01
     chi_1_1=  0.310000000000000E-01  0.429056317822586E+02  0.201397521967839E-01
     chi_1_1=  0.320000000000000E-01  0.429107479052399E+02  0.207976039149110E-01
     chi_1_1=  0.330000000000000E-01  0.429160285548304E+02  0.214562410964049E-01
     chi_1_1=  0.340000000000000E-01  0.429214739304642E+02  0.221156892622463E-01
     chi_1_1=  0.350000000000000E-01  0.429270842379628E+02  0.227759740249361E-01
     chi_1_1=  0.360000000000000E-01  0.429328596895588E+02  0.234371210914981E-01
     chi_1_1=  0.370000000000000E-01  0.429388005039195E+02  0.240991562665040E-01
     chi_1_1=  0.380000000000000E-01  0.429449069061720E+02  0.247621054551184E-01
     chi_1_1=  0.390000000000000E-01  0.429511791279280E+02  0.254259946661678E-01
     chi_1_1=  0.400000000000000E-01  0.429576174073112E+02  0.260908500152328E-01
     chi_1_1=  0.410000000000000E-01  0.429642219889831E+02  0.267566977277634E-01
     chi_1_1=  0.420000000000000E-01  0.429709931241717E+02  0.274235641422204E-01
     chi_1_1=  0.430000000000000E-01  0.429779310706999E+02  0.280914757132417E-01
     chi_1_1=  0.440000000000000E-01  0.429850360930146E+02  0.287604590148344E-01
     chi_1_1=  0.450000000000000E-01  0.429923084622174E+02  0.294305407435947E-01
     chi_1_1=  0.460000000000000E-01  0.429997484560951E+02  0.301017477219557E-01
     chi_1_1=  0.470000000000000E-01  0.430073563591521E+02  0.307741069014638E-01
     chi_1_1=  0.480000000000000E-01  0.430151324626425E+02  0.314476453660837E-01
     chi_1_1=  0.490000000000000E-01  0.430230770646040E+02  0.321223903355356E-01
     chi_1_1=  0.500000000000000E-01  0.430311904698916E+02  0.327983691686608E-01
     chi_1_1=  0.510000000000000E-01  0.430394729902137E+02  0.334756093668221E-01
     chi_1_1=  0.520000000000000E-01  0.430479249441675E+02  0.341541385773354E-01
     chi_1_1=  0.530000000000000E-01  0.430565466572761E+02  0.348339845969349E-01
     chi_1_1=  0.540000000000000E-01  0.430653384620256E+02  0.355151753752732E-01
     chi_1_1=  0.550000000000000E-01  0.430743006979048E+02  0.361977390184576E-01
     chi_1_1=  0.560000000000000E-01  0.430834337114440E+02  0.368817037926210E-01
     chi_1_1=  0.570000000000000E-01  0.430927378562556E+02  0.375670981275320E-01
     chi_1_1=  0.580000000000000E-01  0.431022134930752E+02  0.382539506202417E-01
     chi_1_1=  0.590000000000000E-01  0.431118609898043E+02  0.389422900387701E-01
